ts;externalTemperature;humidity;light;motion;temperature;vdd
1596564104371;19.9;54;0;2;21.8;3564
1596564405697;20;54;0;3;21.8;3564
1596564706313;20;54;0;2;21.8;3564
1596565008618;19.9;54;0;3;21.8;3564
1596565304546;19.9;54;0;2;21.8;3564
1596565604247;19.9;55;0;3;21.7;3564
1596565906570;20;55;0;2;21.8;3564
1596566203934;19.9;55;0;3;21.7;3564
1596566504784;19.9;55;0;2;21.7;3564
1596566804184;19.9;55;0;3;21.7;3564
1596567105155;19.8;55;0;2;21.7;3564
1596567405027;19.8;55;0;3;21.7;3564
1596567705039;19.9;55;0;2;21.7;3561
1596568004340;19.8;55;0;3;21.7;3564
1596568303566;19.8;55;0;2;21.7;3564
1596568605143;19.8;55;0;3;21.7;3564
1596568904973;19.7;55;0;2;21.7;3564
1596569206140;19.8;55;0;3;21.6;3564
1596569503802;19.9;55;0;2;21.6;3564
1596569804436;19.8;55;0;3;21.7;3564
1596570103363;19.7;55;0;2;21.6;3564
1596570404267;19.8;55;0;3;21.6;3564
1596570704790;19.9;55;0;2;21.6;3564
1596571004917;19.8;55;0;3;21.7;3564
1596571306592;19.7;55;0;2;21.6;3564
1596571603839;19.8;55;0;3;21.6;3564
1596572205188;19.7;55;0;3;21.6;3564
1596572505586;19.7;55;0;2;21.6;3561
1596572805323;19.6;55;0;3;21.6;3564
1596573106664;19.6;55;0;2;21.6;3564
1596573403191;19.7;55;0;3;21.6;3564
1596573703342;19.6;55;0;2;21.6;3564
1596574003516;19.7;55;0;3;21.6;3564
1596574306860;19.7;55;0;2;21.6;3564
1596574604798;19.7;55;0;3;21.6;3564
1596574911401;19.7;55;0;2;21.6;3561
1596575203324;19.7;55;0;3;21.6;3564
1596575503762;19.8;55;0;2;21.6;3564
1596575803634;19.6;55;0;3;21.6;3564
1596576105236;19.7;55;0;2;21.6;3564
1596576405241;19.6;55;0;3;21.6;3564
1596576703441;19.6;55;0;2;21.6;3564
1596577009048;19.6;55;0;3;21.6;3561
1596577303798;19.6;55;0;2;21.5;3564
1596577602605;19.6;55;0;3;21.5;3561
1596577903732;19.7;55;0;2;21.6;3564
1596578204786;19.6;55;0;3;21.5;3561
1596578505981;19.7;55;0;2;21.6;3564
1596578803174;19.6;55;0;3;21.5;3564
1596579105834;19.7;55;0;2;21.5;3561
