ts;tr;tm
1591941354;24.0;24.0
1591941654;24.0;23.7
1591941954;24.0;24.1
1591942254;24.0;24.4
1591942554;24.0;24.2
1591942854;24.0;24.4
1591943154;24.0;24.1
1591943454;24.0;23.7
1591943754;23.9;24.5
1591944054;23.9;24.8
1591944354;24.0;24.7
1591944654;23.9;25.3
1591944954;23.9;26.5
1591945254;23.9;26.3
1591945553;23.9;26.6
1591945854;23.9;26.4
1591946154;23.9;26.4
1591946453;23.9;26.1
1591946754;23.9;25.6
1591947053;23.9;24.9
1591947353;23.8;23.6
1591947653;23.8;22.6
1591947953;23.9;22.4
1591948253;23.8;21.4
1591948553;23.8;20.6
1591949153;23.8;20.2
1591949453;23.8;20.4
1591949753;23.8;20.0
1591950053;23.8;20.0
1591950353;23.8;19.9
1591950653;23.8;20.0
1591950953;23.8;20.4
1591951253;23.9;20.6
1591951553;23.8;20.7
1591951853;23.8;20.7
1591952153;23.8;20.9
1591952453;23.8;20.3
1591952753;23.9;20.6
1591953053;23.7;21.7
1591953353;23.8;22.1
1591953953;23.8;21.4
1591954253;23.8;21.8
1591954553;23.7;22.7
1591955153;23.7;22.1
1591955453;23.7;21.9
1591955753;23.6;21.7
1591956053;23.7;21.9
1591956353;23.7;22.5
1591956953;23.6;22.0
1591957253;23.6;21.7
1591957553;23.6;22.4
1591957853;23.6;22.6
1591958153;23.6;22.0
1591958453;23.6;22.4
1591958753;23.5;22.9
1591959053;23.6;23.3
1591959353;23.5;22.9
1591959653;23.5;23.1
1591959953;23.5;23.5
1591960253;23.6;23.3
1591960553;23.5;23.5
1591960853;23.5;23.2
1591961453;23.5;23.2
1591961753;23.6;23.1
1591962053;23.5;22.3
1591962353;23.5;22.9
1591962653;23.5;23.3
1591962953;23.5;23.0
1591963253;23.5;23.2
1591963553;23.5;23.1
1591963853;23.5;22.8
1591964453;23.5;23.7
1591964753;23.5;24.3
1591965053;23.5;23.8
1591965653;23.5;23.5
1591965953;23.5;23.2
1591966253;23.5;23.1
1591966553;23.5;23.2
1591966852;23.5;23.0
1591967152;23.5;23.0
1591967452;23.5;22.8
1591967752;23.5;22.6
1591968052;23.5;22.7
1591968652;23.5;22.8
1591968952;23.5;22.7
1591969252;23.5;22.8
1591969552;23.5;22.5
1591969852;23.5;22.4
1591970152;23.5;22.5
1591970452;23.5;22.5
1591970752;23.5;21.9
1591971052;23.5;21.8
1591971352;23.5;21.4
1591971652;23.5;21.5
1591971952;23.5;21.0
1591972252;23.5;20.9
1591972552;23.5;20.7
1591972852;23.5;20.7
1591973152;23.5;20.6
1591973452;23.5;20.8
1591973752;23.5;20.3
1591974052;23.5;20.4
1591974352;23.5;20.4
1591974652;23.5;20.2
1591974952;23.5;19.8
1591975252;23.5;19.8
1591975552;23.4;19.9
1591975852;23.4;19.6
1591976452;23.4;19.5
1591976752;23.4;19.4
1591977052;23.4;19.1
1591977652;23.4;18.9
1591977952;23.3;18.8
1591978252;23.3;18.8
1591978852;23.3;18.5
1591979152;23.3;18.5
1591979452;23.2;18.5
1591979752;23.2;18.5
1591980052;23.2;18.3
1591980652;23.2;18.1
1591980952;23.2;18.1
1591981252;23.1;18.0
1591981552;23.1;18.0
1591981852;23.1;18.0
1591982152;23.1;18.0
1591982452;23.1;17.9
1591983052;23.0;17.8
1591983352;23.1;17.7
1591983652;23.0;17.8
1591983952;23.0;17.7
1591984252;23.0;17.8
1591984552;23.0;17.7
1591984852;23.0;17.7
1591985152;23.0;17.6
