ts;humidity;light;motion;temperature;vdd
1593679053255;56;49;0;23.1;3533
1593679351991;56;33;0;23.1;3533
1593679653666;56;55;0;23.2;3530
1593679952303;56;37;0;23.2;3530
1593680254460;56;33;0;23.2;3530
1593680552415;56;43;0;23.2;3533
1593680853503;56;38;0;23.2;3530
1593681152912;56;47;0;23.2;3533
1593681452095;56;31;0;23.2;3533
1593681754704;56;31;0;23.2;3533
1593682053828;56;38;0;23.2;3533
1593682352231;56;30;0;23.2;3533
1593682656458;56;26;0;23.2;3530
1593682954851;56;32;0;23.2;3533
1593683253475;56;28;0;23.2;3533
1593683556212;56;31;0;23.2;3530
1593683853592;56;35;0;23.3;3533
1593684153916;56;30;0;23.2;3530
1593684452511;56;31;0;23.2;3530
1593684755508;56;32;0;23.3;3533
1593685052007;56;33;0;23.3;3530
1593685352543;56;33;0;23.3;3530
1593685652667;56;49;0;23.3;3530
1593685952975;56;43;0;23.2;3530
1593686252639;56;40;0;23.3;3533
1593686552811;56;39;0;23.3;3530
1593686853463;56;43;0;23.3;3530
1593687153068;56;42;0;23.3;3535
1593687454231;56;36;0;23.3;3530
1593687753147;56;18;0;23.3;3533
1593688053847;56;9;0;23.2;3533
1593688352187;56;7;0;23.3;3533
1593688653223;56;9;0;23.2;3535
1593688953423;56;9;0;23.3;3533
1593689254542;56;13;0;23.3;3533
1593689553331;56;8;0;23.3;3533
1593689854275;56;8;0;23.2;3533
1593690151815;56;7;0;23.2;3533
1593690453551;56;7;0;23.2;3533
1593690752439;56;7;0;23.3;3533
1593691054239;56;5;0;23.3;3535
1593691351871;56;4;0;23.2;3533
1593691652451;56;5;0;23.2;3533
1593691952079;56;9;0;23.3;3535
1593692253222;56;4;0;23.2;3533
1593692552871;56;4;0;23.2;3533
1593692853770;56;5;0;23.3;3530
1593693152631;56;6;0;23.3;3530
1593693452799;56;7;0;23.2;3533
1593693751915;56;8;0;23.2;3530
1593694051259;56;5;0;23.2;3533
1593694351491;56;4;0;23.2;3530
1593694651363;56;5;0;23.2;3530
1593694952267;56;4;0;23.2;3533
1593695253155;56;3;0;23.2;3533
1593695552947;56;2;0;23.2;3533
1593695854353;56;4;0;23.2;3530
1593696152264;56;3;0;23.2;3530
1593696451427;56;5;0;23.2;3533
1593696752275;56;10;0;23.2;3533
1593697053359;56;15;0;23.1;3533
1593697351431;56;21;0;23.1;3533
1593697652067;56;17;0;23.2;3533
1593697951163;56;12;0;23.2;3533
1593698254279;56;12;0;23.1;3530
1593698562570;56;12;0;23.1;3530
1593698852227;56;12;0;23.2;3533
1593699154305;56;8;0;23.1;3533
1593699451755;56;5;0;23.2;3530
1593699751495;56;3;0;23.1;3533
1593700051107;56;3;0;23.1;3533
1593700351355;56;3;0;23.1;3533
1593700652043;56;3;0;23.1;3530
1593700951983;56;2;0;23.1;3533
1593701253355;56;1;0;23.2;3533
1593701551771;56;2;0;23.1;3535
1593701853791;56;3;0;23.1;3533
1593702154257;56;3;0;23.1;3533
1593702452441;56;53;0;23.1;3530
1593702753574;56;2;0;23.1;3533
1593703051519;56;2;0;23.1;3533
1593703353154;56;2;0;23.1;3533
1593703652711;56;4;0;23.1;3533
1593703953014;56;9;0;23.1;3530
1593704251431;56;4;0;23.1;3530
1593704556987;56;3;0;23.1;3530
1593704851635;57;2;0;23.1;3530
1593705154031;56;2;0;23.2;3533
1593705453789;57;5;0;23.1;3530
1593705751392;57;7;0;23.1;3533
1593706053579;57;9;0;23.1;3533
1593706352399;57;7;0;23.1;3533
1593706653851;57;5;0;23.1;3533
1593706952863;57;5;0;23.1;3533
1593707252098;57;3;0;23.1;3533
1593707551631;57;3;0;23.1;3530
1593707855412;57;1;0;23.1;3533
1593708153167;57;1;0;23.1;3533
1593708451622;57;1;0;23.1;3533
1593708750415;57;1;0;23.1;3530
1593709050659;57;2;0;23.1;3533
1593709351271;57;1;0;23.1;3533
1593709651863;57;1;0;23.1;3530
1593709953319;57;1;0;23.1;3530
1593710254579;57;1;0;23;3530
1593710552631;57;1;0;23;3530
1593710854978;57;1;0;23.1;3533
1593711153227;57;2;0;23.1;3533
1593711452964;57;1;0;23.1;3533
1593711752383;57;1;0;23.1;3533
1593712050383;57;1;0;23.1;3530
1593712351275;57;1;0;23.1;3533
1593712651615;57;1;0;23;3530
1593712953338;57;1;0;23;3530
1593713251067;57;1;0;23;3533
1593713553510;57;1;0;23;3533
1593713851751;57;1;0;23;3533
1593714152502;57;1;0;23;3530
1593714450227;58;1;0;23;3533
1593714752480;58;1;0;23;3530
1593715051607;58;1;0;23;3533
1593715353562;58;1;0;23.1;3533
1593715651231;58;1;0;23;3533
1593715951499;58;1;0;23;3530
1593716250163;58;1;0;23;3530
1593716552623;58;1;0;23.1;3533
1593716852683;58;1;0;23;3530
1593717153255;58;1;0;23;3533
1593717451375;58;1;0;23;3530
1593717754874;58;1;0;23;3530
1593718050215;58;1;0;23;3530
1593718351775;58;1;0;23;3530
1593718650603;58;1;0;23;3530
1593718953313;58;1;0;23;3530
1593719250507;58;1;0;23;3530
1593719551604;58;1;0;23;3530
1593719851367;58;1;0;23;3530
1593720151469;58;1;0;23;3530
1593720450183;58;1;0;23;3530
1593720753137;58;1;0;23;3530
1593721052299;58;1;0;23;3530
1593721351671;58;1;0;23;3533
1593721650199;58;1;0;23;3530
1593721952399;58;1;0;23;3530
1593722252179;58;1;0;22.9;3530
1593722564311;58;1;0;22.9;3530
1593722849971;58;1;0;23;3530
1593723150047;58;1;0;23;3530
1593723450031;58;1;0;22.9;3530
1593723751423;58;1;0;23;3530
1593724049579;58;1;0;22.9;3533
1593724351039;58;1;0;22.9;3533
1593724653703;58;1;0;23;3530
1593724950275;58;1;0;23;3533
1593725250219;58;1;0;23;3533
1593725551131;58;1;0;22.9;3535
1593725849955;58;1;0;22.9;3533
1593726151248;58;1;0;22.9;3533
1593726451075;58;1;0;23;3533
1593726749971;58;1;0;22.9;3533
1593727050067;58;1;0;22.9;3530
1593727349871;58;1;0;22.9;3530
1593727655206;58;1;0;23;3535
1593727950431;59;1;0;22.9;3533
1593728253936;58;1;0;22.9;3530
1593728549623;58;1;0;22.9;3530
1593728851031;58;1;0;22.9;3530
1593729150955;58;1;0;22.9;3530
1593729449707;58;1;0;22.9;3530
1593729749747;58;1;0;22.9;3530
1593730053511;59;1;0;23;3530
1593730350891;58;1;0;22.9;3530
1593730649707;59;1;0;22.9;3533
1593730949947;59;1;0;22.9;3530
1593731254192;59;1;0;22.9;3530
1593731549587;59;1;0;22.9;3530
